title,date_published,genre,director,actors,avg_vote,comb
big night,1996-09-20,"Drama, Romance","Campbell Scott, Stanley Tucci","Marc Anthony, Tony Shalhoub, Stanley Tucci, Larry Block, Caroline Aaron, Andre Belgrader, Minnie Driver, Peter McRobbie, Isabella Rossellini, Liev Schreiber, Pasquale Cajano, Christine Tucci, Gene Canfield, Ian Holm, Allison Janney",7.3,Marc Anthony  Tony Shalhoub  Stanley Tucci  Larry Block  Caroline Aaron  Andre Belgrader  Minnie Driver  Peter McRobbie  Isabella Rossellini  Liev Schreiber  Pasquale Cajano  Christine Tucci  Gene Canfield  Ian Holm  Allison Janney Campbell Scott  Stanley Tucci Drama  Romance
bio-dome,1996-01-12,Comedy,Jason Bloom,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West, Kylie Minogue, Pauly Shore, Stephen Baldwin, Joey Lauren Adams, Teresa Hill, Patricia Hearst, Robbie Thibaut Jr., Adam Weisman, Henry Gibson, Brian Hayes Currie, Courtney Mizel",4.4,William Atherton  Denise Dowse  Dara Tomanovich  Kevin West  Kylie Minogue  Pauly Shore  Stephen Baldwin  Joey Lauren Adams  Teresa Hill  Patricia Hearst  Robbie Thibaut Jr.  Adam Weisman  Henry Gibson  Brian Hayes Currie  Courtney Mizel Jason Bloom Comedy
the birdcage,1996-04-26,Comedy,Mike Nichols,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest, Dan Futterman, Calista Flockhart, Hank Azaria, Christine Baranski, Tom McGowan, Grant Heslov, Kirby Mitchell, James Lally, Luca Tommassini, Luis Camacho, André Fuentes",7.1,Robin Williams  Gene Hackman  Nathan Lane  Dianne Wiest  Dan Futterman  Calista Flockhart  Hank Azaria  Christine Baranski  Tom McGowan  Grant Heslov  Kirby Mitchell  James Lally  Luca Tommassini  Luis Camacho  André Fuentes Mike Nichols Comedy
bottle rocket,1996-02-21,"Comedy, Crime, Drama",Wes Anderson,"Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler, Haley Miller, Robert Musgrave, Andrew Wilson, Brian Tenenbaum, Jenni Tooley, Temple Nash, Dipak Pallana, Darryl Cox, Stephen Dignan, Lumi Cavazos, Julie Mayfield",7.0,Luke Wilson  Owen Wilson  Ned Dowd  Shea Fowler  Haley Miller  Robert Musgrave  Andrew Wilson  Brian Tenenbaum  Jenni Tooley  Temple Nash  Dipak Pallana  Darryl Cox  Stephen Dignan  Lumi Cavazos  Julie Mayfield Wes Anderson Comedy  Crime  Drama
bound,1996-10-04,"Crime, Romance, Thriller","Lana Wachowski, Lilly Wachowski","Jennifer Tilly, Gina Gershon, Joe Pantoliano, John P. Ryan, Christopher Meloni, Richard C. Sarafian, Mary Mara, Susie Bright, Margaret Smith, Barry Kivel, Peter Spellos, Ivan Kane, Kevin Michael Richardson, Gene Borkan",7.3,Jennifer Tilly  Gina Gershon  Joe Pantoliano  John P. Ryan  Christopher Meloni  Richard C. Sarafian  Mary Mara  Susie Bright  Margaret Smith  Barry Kivel  Peter Spellos  Ivan Kane  Kevin Michael Richardson  Gene Borkan Lana Wachowski  Lilly Wachowski Crime  Romance  Thriller
broken arrow,1996-04-12,"Action, Adventure, Thriller",John Woo,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley, Howie Long, Vondie Curtis-Hall, Jack Thompson, Vyto Ruginis, Ousaun Elam, Shaun Toub, Casey Biggs, Jeffrey Stephan, Joey Box",6.0,John Travolta  Christian Slater  Samantha Mathis  Delroy Lindo  Bob Gunton  Frank Whaley  Howie Long  Vondie Curtis-Hall  Jack Thompson  Vyto Ruginis  Ousaun Elam  Shaun Toub  Casey Biggs  Jeffrey Stephan  Joey Box John Woo Action  Adventure  Thriller
bulletproof,1996-09-06,"Action, Comedy, Crime",Ernest R. Dickerson,"Damon Wayans, Adam Sandler, James Caan, Jeep Swenson, James Farentino, Kristen Wilson, Larry McCoy, Allen Covert, Bill Nunn, Mark Roberts, Mark Casella, Andrew Shaifer, Monica Potter, Jonathan Loughran, Steve White",5.8,Damon Wayans  Adam Sandler  James Caan  Jeep Swenson  James Farentino  Kristen Wilson  Larry McCoy  Allen Covert  Bill Nunn  Mark Roberts  Mark Casella  Andrew Shaifer  Monica Potter  Jonathan Loughran  Steve White Ernest R. Dickerson Action  Comedy  Crime
the cable guy,1996-07-12,"Comedy, Drama, Thriller",Ben Stiller,"Jim Carrey, Matthew Broderick, Leslie Mann, Jack Black, George Segal, Diane Baker, Ben Stiller, Eric Roberts, Janeane Garofalo, Andy Dick, Harry O'Reilly, David Cross, Amy Stiller, Owen Wilson, Keith Gibbs",6.1,Jim Carrey  Matthew Broderick  Leslie Mann  Jack Black  George Segal  Diane Baker  Ben Stiller  Eric Roberts  Janeane Garofalo  Andy Dick  Harry O'Reilly  David Cross  Amy Stiller  Owen Wilson  Keith Gibbs Ben Stiller Comedy  Drama  Thriller
carpool,1996-08-23,Comedy,Arthur Hiller,"Tom Arnold, David Paymer, Rhea Perlman, Rod Steiger, Kim Coates, Rachael Leigh Cook, Mikey Kovar, Micah Gardener, Jordan Warkol, Colleen Rennison, Ian Tracey, John Tench, Stellina Rusich, David Kaye, Obba Babatundé",5.0,Tom Arnold  David Paymer  Rhea Perlman  Rod Steiger  Kim Coates  Rachael Leigh Cook  Mikey Kovar  Micah Gardener  Jordan Warkol  Colleen Rennison  Ian Tracey  John Tench  Stellina Rusich  David Kaye  Obba Babatundé Arthur Hiller Comedy
the chamber,1997-06-20,"Crime, Drama, Thriller",James Foley,"Chris O'Donnell, Gene Hackman, Faye Dunaway, Robert Prosky, Raymond J. Barry, Bo Jackson, Lela Rochon, David Marshall Grant, Nicholas Pryor, Harve Presnell, Richard Bradford, Greg Goossen, Seth Isler, Millie Perkins, Sid Johnson",6.0,Chris O'Donnell  Gene Hackman  Faye Dunaway  Robert Prosky  Raymond J. Barry  Bo Jackson  Lela Rochon  David Marshall Grant  Nicholas Pryor  Harve Presnell  Richard Bradford  Greg Goossen  Seth Isler  Millie Perkins  Sid Johnson James Foley Crime  Drama  Thriller
citizen ruth,1996-12-13,"Comedy, Drama",Alexander Payne,"Laura Dern, Swoosie Kurtz, Kurtwood Smith, Mary Kay Place, Kelly Preston, M.C. Gainey, Kenneth Mars, David Graf, Kathleen Noone, Tippi Hedren, Burt Reynolds, Lance Rome, Jim Kalal, Shea Degan, Vince Morelli",7.0,Laura Dern  Swoosie Kurtz  Kurtwood Smith  Mary Kay Place  Kelly Preston  M.C. Gainey  Kenneth Mars  David Graf  Kathleen Noone  Tippi Hedren  Burt Reynolds  Lance Rome  Jim Kalal  Shea Degan  Vince Morelli Alexander Payne Comedy  Drama
courage under fire,1996-10-04,"Action, Drama, Mystery",Edward Zwick,"Denzel Washington, Meg Ryan, Lou Diamond Phillips, Michael Moriarty, Matt Damon, Bronson Pinchot, Seth Gilliam, Regina Taylor, Zeljko Ivanek, Scott Glenn, Tim Guinee, Tim Ransom, Sean Astin, Armand Darrius, Mark Adair-Rios",6.6,Denzel Washington  Meg Ryan  Lou Diamond Phillips  Michael Moriarty  Matt Damon  Bronson Pinchot  Seth Gilliam  Regina Taylor  Zeljko Ivanek  Scott Glenn  Tim Guinee  Tim Ransom  Sean Astin  Armand Darrius  Mark Adair-Rios Edward Zwick Action  Drama  Mystery
crash,1996-10-04,Drama,David Cronenberg,"James Spader, Holly Hunter, Elias Koteas, Deborah Kara Unger, Rosanna Arquette, Peter MacNeill, Yolande Julian, Cheryl Swarts, Judah Katz, Nicky Guadagni, Ronn Sarosiak, Boyd Banks, Markus Parilo, Alice Poon, John Stoneham Jr.",6.4,James Spader  Holly Hunter  Elias Koteas  Deborah Kara Unger  Rosanna Arquette  Peter MacNeill  Yolande Julian  Cheryl Swarts  Judah Katz  Nicky Guadagni  Ronn Sarosiak  Boyd Banks  Markus Parilo  Alice Poon  John Stoneham Jr. David Cronenberg Drama
down periscope,1996-06-28,Comedy,David S. Ward,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton, Bruce Dern, William H. Macy, Ken Hudson Campbell, Toby Huss, Duane Martin, Jonathan Penner, Bradford Tatum, Harland Williams, Rip Torn, James Martin Jr., Jordan Marder",6.1,Kelsey Grammer  Lauren Holly  Rob Schneider  Harry Dean Stanton  Bruce Dern  William H. Macy  Ken Hudson Campbell  Toby Huss  Duane Martin  Jonathan Penner  Bradford Tatum  Harland Williams  Rip Torn  James Martin Jr.  Jordan Marder David S. Ward Comedy
ed,1996-03-15,"Comedy, Family, Sport",Bill Couturié,"Matt LeBlanc, Gene Ross, Paul Hewitt, Sage Allen, Stan Ivar, Jim O'Heir, Rick Johnson, Valente Rodriguez, Jack Warden, Bill Cobbs, Leonard Kelly-Young, Jayne Brook, Patrick Kerr, Jim Caviezel, Troy Evans",2.7,Matt LeBlanc  Gene Ross  Paul Hewitt  Sage Allen  Stan Ivar  Jim O'Heir  Rick Johnson  Valente Rodriguez  Jack Warden  Bill Cobbs  Leonard Kelly-Young  Jayne Brook  Patrick Kerr  Jim Caviezel  Troy Evans Bill Couturié Comedy  Family  Sport
emma,1996-09-20,"Comedy, Drama, Romance",Douglas McGrath,"Gwyneth Paltrow, James Cosmo, Greta Scacchi, Alan Cumming, Denys Hawthorne, Sophie Thompson, Jeremy Northam, Toni Collette, Kathleen Byron, Phyllida Law, Edward Woodall, Brett Miley, Brian Capron, Karen Westwood, Paul Williamson",6.6,Gwyneth Paltrow  James Cosmo  Greta Scacchi  Alan Cumming  Denys Hawthorne  Sophie Thompson  Jeremy Northam  Toni Collette  Kathleen Byron  Phyllida Law  Edward Woodall  Brett Miley  Brian Capron  Karen Westwood  Paul Williamson Douglas McGrath Comedy  Drama  Romance
the english patient,1997-03-14,"Drama, Romance, War",Anthony Minghella,"Ralph Fiennes, Juliette Binoche, Willem Dafoe, Kristin Scott Thomas, Naveen Andrews, Colin Firth, Julian Wadham, Jürgen Prochnow, Kevin Whately, Clive Merrison, Nino Castelnuovo, Hichem Rostom, Peter Rühring, Geordie Johnson, Torri Higginson",7.4,Ralph Fiennes  Juliette Binoche  Willem Dafoe  Kristin Scott Thomas  Naveen Andrews  Colin Firth  Julian Wadham  Jürgen Prochnow  Kevin Whately  Clive Merrison  Nino Castelnuovo  Hichem Rostom  Peter Rühring  Geordie Johnson  Torri Higginson Anthony Minghella Drama  Romance  War
eraser,1996-08-23,"Action, Drama, Thriller",Chuck Russell,"Arnold Schwarzenegger, James Caan, Vanessa Williams, James Coburn, Robert Pastorelli, James Cromwell, Danny Nucci, Andy Romano, Nick Chinlund, Michael Papajohn, Joe Viterelli, Mark Rolston, John Slattery, Robert Miranda, Roma Maffia",6.1,Arnold Schwarzenegger  James Caan  Vanessa Williams  James Coburn  Robert Pastorelli  James Cromwell  Danny Nucci  Andy Romano  Nick Chinlund  Michael Papajohn  Joe Viterelli  Mark Rolston  John Slattery  Robert Miranda  Roma Maffia Chuck Russell Action  Drama  Thriller
escape from l.a.,1996-09-20,"Action, Adventure, Sci-Fi",John Carpenter,"Kurt Russell, Steve Buscemi, Peter Fonda, Cliff Robertson, Valeria Golino, Stacy Keach, Pam Grier, Bruce Campbell, Georges Corraface, Michelle Forbes, A.J. Langer, Ina Romeo, Peter Jason, Jordan Baker, Caroleen Feeney",5.7,Kurt Russell  Steve Buscemi  Peter Fonda  Cliff Robertson  Valeria Golino  Stacy Keach  Pam Grier  Bruce Campbell  Georges Corraface  Michelle Forbes  A.J. Langer  Ina Romeo  Peter Jason  Jordan Baker  Caroleen Feeney John Carpenter Action  Adventure  Sci-Fi
evita,1997-01-03,"Biography, Drama, History",Alan Parker,"Madonna, Antonio Banderas, Jonathan Pryce, Jimmy Nail, Victoria Sus, Julian Littman, Olga Merediz, Laura Pallas, Julia Worsley, María Luján Hidalgo, Servando Villamil, Andrea Corr, Peter Polycarpou, Gary Brooker, Maite Yerro",6.3,Madonna  Antonio Banderas  Jonathan Pryce  Jimmy Nail  Victoria Sus  Julian Littman  Olga Merediz  Laura Pallas  Julia Worsley  María Luján Hidalgo  Servando Villamil  Andrea Corr  Peter Polycarpou  Gary Brooker  Maite Yerro Alan Parker Biography  Drama  History
executive decision,1996-05-10,"Action, Adventure, Thriller",Stuart Baird,"Kurt Russell, Steven Seagal, Halle Berry, John Leguizamo, Oliver Platt, Joe Morton, David Suchet, BD Wong, Len Cariou, Whip Hubley, Andreas Katsulas, Mary Ellen Trainor, Marla Maples, J.T. Walsh, Ingo Neuhaus",6.4,Kurt Russell  Steven Seagal  Halle Berry  John Leguizamo  Oliver Platt  Joe Morton  David Suchet  BD Wong  Len Cariou  Whip Hubley  Andreas Katsulas  Mary Ellen Trainor  Marla Maples  J.T. Walsh  Ingo Neuhaus Stuart Baird Action  Adventure  Thriller
the fan,1996-08-16,"Action, Drama, Sport",Tony Scott,"Robert De Niro, Wesley Snipes, Ellen Barkin, John Leguizamo, Benicio Del Toro, Patti D'Arbanville, Chris Mulkey, Andrew J. Ferchland, Brandon Hammond, Charles Hallahan, Dan Butler, Kurt Fuller, Michael Jace, Frank Medrano, Don S. Davis",5.9,Robert De Niro  Wesley Snipes  Ellen Barkin  John Leguizamo  Benicio Del Toro  Patti D'Arbanville  Chris Mulkey  Andrew J. Ferchland  Brandon Hammond  Charles Hallahan  Dan Butler  Kurt Fuller  Michael Jace  Frank Medrano  Don S. Davis Tony Scott Action  Drama  Sport
fargo,1996-05-31,"Crime, Drama, Thriller","Joel Coen, Ethan Coen","William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudrüd, Harve Presnell, Tony Denman, Gary Houston, Sally Wingert, Kurt Schweickhardt, Larissa Kokernot, Melissa Peterman, Steve Reevis, Warren Keith, Steve Edelman, Sharon Anderson",8.1,William H. Macy  Steve Buscemi  Peter Stormare  Kristin Rudrüd  Harve Presnell  Tony Denman  Gary Houston  Sally Wingert  Kurt Schweickhardt  Larissa Kokernot  Melissa Peterman  Steve Reevis  Warren Keith  Steve Edelman  Sharon Anderson Joel Coen  Ethan Coen Crime  Drama  Thriller
the first wives club,1996-11-15,Comedy,Hugh Wilson,"Goldie Hawn, Bette Midler, Diane Keaton, Maggie Smith, Sarah Jessica Parker, Dan Hedaya, Stockard Channing, Victor Garber, Stephen Collins, Elizabeth Berkley, Marcia Gay Harden, Bronson Pinchot, Jennifer Dundas, Eileen Heckart, Philip Bosco",6.4,Goldie Hawn  Bette Midler  Diane Keaton  Maggie Smith  Sarah Jessica Parker  Dan Hedaya  Stockard Channing  Victor Garber  Stephen Collins  Elizabeth Berkley  Marcia Gay Harden  Bronson Pinchot  Jennifer Dundas  Eileen Heckart  Philip Bosco Hugh Wilson Comedy
flipper,1996-08-02,"Adventure, Family",Alan Shapiro,"Elijah Wood, Paul Hogan, Jonathan Banks, Robert Deacon, Ann Carey, Mark Casella, Luke Halpin, Bill Kelley, Chelsea Field, Jason Fuchs, Lindsay Treco, Jessica Wesson, Mal Jones, Louis Seeger Crume, Bill Nolan",5.2,Elijah Wood  Paul Hogan  Jonathan Banks  Robert Deacon  Ann Carey  Mark Casella  Luke Halpin  Bill Kelley  Chelsea Field  Jason Fuchs  Lindsay Treco  Jessica Wesson  Mal Jones  Louis Seeger Crume  Bill Nolan Alan Shapiro Adventure  Family
flirting with disaster,1997-10-30,Comedy,David O. Russell,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore, George Segal, Alan Alda, Lily Tomlin, Richard Jenkins, Josh Brolin, Celia Weston, Glenn Fitzgerald, Beth Stern, Cynthia LaMontagne, David Patrick Kelly, John Ford Noonan",6.7,Ben Stiller  Patricia Arquette  Téa Leoni  Mary Tyler Moore  George Segal  Alan Alda  Lily Tomlin  Richard Jenkins  Josh Brolin  Celia Weston  Glenn Fitzgerald  Beth Stern  Cynthia LaMontagne  David Patrick Kelly  John Ford Noonan David O. Russell Comedy
freeway,1997-09-03,"Comedy, Crime, Drama",Matthew Bright,"Kiefer Sutherland, Reese Witherspoon, Bokeem Woodbine, Paul Perri, Robert Peters, Ben Meyerson, Craig Barnett, G. Eric Miles, Wolfgang Bodison, Dan Hedaya, Chris Renna, Kathleen Marshall, Melinda Renna, Guillermo Díaz, Kitty Fox",6.8,Kiefer Sutherland  Reese Witherspoon  Bokeem Woodbine  Paul Perri  Robert Peters  Ben Meyerson  Craig Barnett  G. Eric Miles  Wolfgang Bodison  Dan Hedaya  Chris Renna  Kathleen Marshall  Melinda Renna  Guillermo Díaz  Kitty Fox Matthew Bright Comedy  Crime  Drama
the frighteners,1997-01-24,"Comedy, Fantasy, Horror",Peter Jackson,"Michael J. Fox, Trini Alvarado, Peter Dobson, John Astin, Jeffrey Combs, Dee Wallace, Jake Busey, Chi McBride, Jim Fyfe, Troy Evans, Julianna McCarthy, R. Lee Ermey, Elizabeth Hawthorne, Angela Bloomfield, Desmond Kelly",7.1,Michael J. Fox  Trini Alvarado  Peter Dobson  John Astin  Jeffrey Combs  Dee Wallace  Jake Busey  Chi McBride  Jim Fyfe  Troy Evans  Julianna McCarthy  R. Lee Ermey  Elizabeth Hawthorne  Angela Bloomfield  Desmond Kelly Peter Jackson Comedy  Fantasy  Horror
from dusk till dawn,1996-01-19,"Action, Crime, Horror",Robert Rodriguez,"George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis, Ernest Liu, Salma Hayek, Cheech Marin, Danny Trejo, Tom Savini, Fred Williamson, Michael Parks, Brenda Hillhouse, John Saxon, Marc Lawrence, Kelly Preston",7.2,George Clooney  Quentin Tarantino  Harvey Keitel  Juliette Lewis  Ernest Liu  Salma Hayek  Cheech Marin  Danny Trejo  Tom Savini  Fred Williamson  Michael Parks  Brenda Hillhouse  John Saxon  Marc Lawrence  Kelly Preston Robert Rodriguez Action  Crime  Horror
girl 6,1996-03-22,"Comedy, Drama",Spike Lee,"Theresa Randle, Isaiah Washington, Spike Lee, Jenifer Lewis, Debi Mazar, Peter Berg, Michael Imperioli, Dina Pearlman, Maggie Rush, Desi Moreno, Kristen Wilson, K Funk, Debra Wilson, Naomi Campbell, Gretchen Mol",5.1,Theresa Randle  Isaiah Washington  Spike Lee  Jenifer Lewis  Debi Mazar  Peter Berg  Michael Imperioli  Dina Pearlman  Maggie Rush  Desi Moreno  Kristen Wilson  K Funk  Debra Wilson  Naomi Campbell  Gretchen Mol Spike Lee Comedy  Drama
the glimmer man,1996-10-04,"Action, Comedy, Crime",John Gray,"Steven Seagal, Keenen Ivory Wayans, Bob Gunton, Brian Cox, John M. Jackson, Michelle Johnson, Stephen Tobolowsky, Peter Jason, Ryan Cutrona, Richard Gant, Johnny Strong, Robert Mailhouse, Jesse Stock, Alexa PenaVega, Nikki Cox",5.4,Steven Seagal  Keenen Ivory Wayans  Bob Gunton  Brian Cox  John M. Jackson  Michelle Johnson  Stephen Tobolowsky  Peter Jason  Ryan Cutrona  Richard Gant  Johnny Strong  Robert Mailhouse  Jesse Stock  Alexa PenaVega  Nikki Cox John Gray Action  Comedy  Crime
gray's anatomy,1997-03-19,"Comedy, Drama",Steven Soderbergh,"Spalding Gray, Mike McLaughlin, Melissa Robertson, Alvin Henry, Alyne Hargroder, Buddy Carr, Gerry Urso, Chris Simms, Tommy Staub, Kirk A. Patrick Jr.",6.8,Spalding Gray  Mike McLaughlin  Melissa Robertson  Alvin Henry  Alyne Hargroder  Buddy Carr  Gerry Urso  Chris Simms  Tommy Staub  Kirk A. Patrick Jr. Steven Soderbergh Comedy  Drama
happy gilmore,1996-07-19,"Comedy, Sport",Dennis Dugan,"Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay, Carl Weathers, Allen Covert, Robert Smigel, Bob Barker, Richard Kiel, Dennis Dugan, Joe Flaherty, Lee Trevino, Kevin Nealon, Verne Lundquist, Jared Van Snellenberg",7.0,Adam Sandler  Christopher McDonald  Julie Bowen  Frances Bay  Carl Weathers  Allen Covert  Robert Smigel  Bob Barker  Richard Kiel  Dennis Dugan  Joe Flaherty  Lee Trevino  Kevin Nealon  Verne Lundquist  Jared Van Snellenberg Dennis Dugan Comedy  Sport
hellraiser: bloodline,1996-03-08,"Horror, Sci-Fi",Kevin Yagher,"Bruce Ramsay, Valentina Vargas, Doug Bradley, Charlotte Chatton, Adam Scott, Kim Myers, Mickey Cottrell, Louis Turenne, Courtland Mead, Louis Mustillo, Jody St. Michael, Paul Perri, Pat Skipper, Christine Harnos, Wren T. Brown",5.2,Bruce Ramsay  Valentina Vargas  Doug Bradley  Charlotte Chatton  Adam Scott  Kim Myers  Mickey Cottrell  Louis Turenne  Courtland Mead  Louis Mustillo  Jody St. Michael  Paul Perri  Pat Skipper  Christine Harnos  Wren T. Brown Kevin Yagher Horror  Sci-Fi
the hunchback of notre dame,1996-07-19,"Animation, Drama, Family","Gary Trousdale, Kirk Wise","Jason Alexander, Mary Kay Bergman, Corey Burton, Jim Cummings, Bill Fagerbakke, Tom Hulce, Tony Jay, Paul Kandel, Charles Kimbrough, Kevin Kline, Heidi Mollenhauer, Demi Moore, Patrick Pinney, Gary Trousdale, David Ogden Stiers",6.9,Jason Alexander  Mary Kay Bergman  Corey Burton  Jim Cummings  Bill Fagerbakke  Tom Hulce  Tony Jay  Paul Kandel  Charles Kimbrough  Kevin Kline  Heidi Mollenhauer  Demi Moore  Patrick Pinney  Gary Trousdale  David Ogden Stiers Gary Trousdale  Kirk Wise Animation  Drama  Family
independence day,1996-08-09,"Action, Adventure, Sci-Fi",Roland Emmerich,"Will Smith, Bill Pullman, Jeff Goldblum, Mary McDonnell, Judd Hirsch, Robert Loggia, Randy Quaid, Margaret Colin, James Rebhorn, Harvey Fierstein, Adam Baldwin, Brent Spiner, James Duval, Vivica A. Fox, Lisa Jakub",7.0,Will Smith  Bill Pullman  Jeff Goldblum  Mary McDonnell  Judd Hirsch  Robert Loggia  Randy Quaid  Margaret Colin  James Rebhorn  Harvey Fierstein  Adam Baldwin  Brent Spiner  James Duval  Vivica A. Fox  Lisa Jakub Roland Emmerich Action  Adventure  Sci-Fi
jack,1996-10-11,"Comedy, Drama, Fantasy",Francis Ford Coppola,"Robin Williams, Diane Lane, Brian Kerwin, Jennifer Lopez, Bill Cosby, Fran Drescher, Adam Zolotin, Todd Bosley, Seth Smith, Mario Yedidia, Jer Adrianne Lelliott, Jurnee Smollett-Bell, Dani Faith, Hugo Hernandez, Rickey D'Shon Collins",5.8,Robin Williams  Diane Lane  Brian Kerwin  Jennifer Lopez  Bill Cosby  Fran Drescher  Adam Zolotin  Todd Bosley  Seth Smith  Mario Yedidia  Jer Adrianne Lelliott  Jurnee Smollett-Bell  Dani Faith  Hugo Hernandez  Rickey D'Shon Collins Francis Ford Coppola Comedy  Drama  Fantasy
james and the giant peach,1996-08-02,"Animation, Adventure, Family",Henry Selick,"Simon Callow, Richard Dreyfuss, Jane Leeves, Joanna Lumley, Miriam Margolyes, Pete Postlethwaite, Susan Sarandon, Paul Terry, David Thewlis, J. Stephen Coyle, Steven Culp, Cirocco Dunlap, Michael Girardin, Tony Haney, Kathryn Howell",6.7,Simon Callow  Richard Dreyfuss  Jane Leeves  Joanna Lumley  Miriam Margolyes  Pete Postlethwaite  Susan Sarandon  Paul Terry  David Thewlis  J. Stephen Coyle  Steven Culp  Cirocco Dunlap  Michael Girardin  Tony Haney  Kathryn Howell Henry Selick Animation  Adventure  Family
